投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
570675,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 运动型 国VI,一汽大众奥迪A3事故喷漆后发现大灯有裂痕,车身附件及电器灯罩裂纹或变形人员技术修出新问题,2021-02-05,信息审核
570672,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁刹车盘变形 高速刹车抖动,制动系统抖动制动系统刹车盘问题,2021-02-05,处理反馈
570671,上汽大众,途观L,2019款 330TSI 自动 两驱 全景舒适版 国V,上汽大众途观L车身镀铬装饰条生锈严重,车身附件及电器车身生锈,2021-02-05,处理反馈
570670,奇瑞汽车,瑞虎5,2016款 2.0L CVT 家悦版,奇瑞瑞虎5行驶时后车轮连杆断裂,前后桥及悬挂系统悬挂故障,2021-02-05,信息审核
570669,东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客经销商加装电动门欺骗销售,销售欺诈与宣传不符,2021-02-05,用户评分
570668,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国Ⅵ,一汽大众探岳大灯不亮且内部有杂质,车身附件及电器车灯不亮,2021-02-05,处理反馈
570663,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电控制单元故障,变速器电脑板故障,2021-02-05,处理反馈
570660,上汽大众,凌渡,2015款 330TSI DSG 豪华版,上汽大众凌渡变速箱机电单元故障 车内异味,变速器电脑板故障车身附件及电器车内异味,2021-02-05,用户评分
570658,江西五十铃,瑞迈,2020款 2.8T 经典 四驱 柴油 国VI 舒适型 加长版 JE493ZLQ6E,五十铃瑞迈刹车泵故障异响 发动机漏水,发动机漏防冻液制动系统异响制动系统刹车偏软人员技术多次返修,2021-02-05,信息审核
570657,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞前半轴防尘套出现漏油,前后桥及悬挂系统球笼套漏油,2021-02-05,信息审核
570656,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳主驾驶座椅异响4S店未解决,车身附件及电器座椅故障人员技术多次返修,2021-02-05,处理反馈
570653,领克,领克05,2020款 2.0TD 两驱 耀Halo,领克05车机高德地图已绑定他人微信,服务态度厂家不回复其他服务问题其他,2021-02-05,信息审核
570651,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8经销商置换补贴未兑现,服务态度互相推诿承诺不兑现销售承诺不兑现,2021-02-05,信息审核
570650,一汽-大众,捷达,2010款 1.6 手动 前卫型,一汽大众捷达车身生锈要求给予解决,车身附件及电器车身生锈,2021-02-05,处理反馈
570649,长安福特,翼虎,2018款 EcoBoost 180 两驱 铂翼型,长安福特翼虎发动机无法启动 漏防冻液,发动机无法启动发动机漏防冻液,2021-02-05,用户评分
570648,奇瑞汽车,艾瑞泽7,2016款 1.6L CVT 致享版,奇瑞艾瑞泽7发动机油底壳漏油4S店不予索赔,发动机漏油服务态度不予索赔,2021-02-05,信息审核
570646,江淮汽车,嘉悦A5,2020款 1.5T CVT 精英型,江淮嘉悦A5怠速不稳熄火希望处理,发动机熄火发动机怠速不稳,2021-02-05,处理反馈
570645,东风雪铁龙,世嘉,2016款 1.6L 自动 品尚型 经典,东风雪铁龙世嘉变速箱电磁阀故障,变速器滑阀箱故障,2021-02-05,处理反馈
570638,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领臻版,奇瑞艾瑞泽5安全气囊故障灯常亮,车身附件及电器气囊故障,2021-02-05,信息审核
570637,东风日产,轩逸,2021款 1.6L XL CVT 悦享版,东风日产轩逸经销商故意拖延 收取服务费,服务态度故意拖延服务收费变相收费,2021-02-05,处理反馈
570636,一汽-大众奥迪,奥迪A4L,2017款 quattro 2.0T 双离合 风尚型,一汽大众奥迪A4L天窗漏水希望处理,车身附件及电器天窗漏水,2021-02-05,信息审核
570633,长安福特,锐界,2018款 EcoBoost 245 两驱 铂锐型 7座 国V,长安福特锐界发动机渗油希望处理,发动机漏油,2021-02-05,处理反馈
570631,BEIJING汽车,BEIJING-EX3,2019款 R600 劲尚版,BEIJING-EX3续航里程不足希望处理,车身附件及电器动力电池故障,2021-02-05,处理反馈
570630,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5发电机皮带开裂希望处理,发动机皮带断裂,2021-02-05,信息审核
570628,东风乘用车,奕炫,2020款 230T 自动 炫酷版,东风风神奕炫悬挂异响 行驶跑偏,前后桥及悬挂系统底盘异响前后桥及悬挂系统跑偏,2021-02-05,厂家受理
570626,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞主驾驶座椅靠背调节异响,车身附件及电器座椅故障,2021-02-05,信息审核
570624,上汽大众,Polo,2014款 1.4L 手动 风尚版,上汽大众Polo 4S店虚报维修价格 服务态度差,服务态度态度蛮横服务收费变相收费,2021-02-05,处理反馈
570623,上汽大众,凌渡,2021款 230TSI DSG 风尚版,上汽大众凌渡行驶时发动机异响严重,发动机异响,2021-02-05,信息审核
570621,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8无法启动需要换电器盒总成,车身附件及电器电路故障,2021-02-05,信息审核
570618,上汽通用五菱,宝骏360,2021款 1.5L 手动 精英型,上汽通用五菱宝骏360排气管漏水生锈,车身附件及电器车身漏水车身附件及电器排气管锈蚀,2021-02-05,用户评分
570617,东风日产,劲客,2017款 1.5L CVT 酷享版,东风日产劲客方向盘转向出现异响,转向系统异响,2021-02-05,处理反馈
570615,广汽本田,雅阁,2021款 260TURBO 豪华·星空限量版,广汽本田雅阁限量版车标颜色宣传不符,销售欺诈与宣传不符,2021-02-05,处理反馈
570614,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,奇瑞瑞虎8 PLUS更换凸轮轴电磁阀无法解决,发动机故障灯亮,2021-02-05,厂家受理
570612,广汽丰田,YARiS L 致享,2019款 1.5E CVT魅动版 国VI,广汽丰田致享方向盘不回正希望处理,转向系统方向盘不正,2021-02-05,信息审核
570611,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L中控显示屏死机黑屏,车身附件及电器影音系统故障,2021-02-05,信息审核
570610,广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,广汽丰田雷凌机油增多乳化天窗中控屏异响,发动机机油增多发动机机油乳化车身附件及电器影音系统故障车身附件及电器天窗异响服务态度厂家不回复,2021-02-05,信息审核
570602,广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 豪华版,广汽丰田雷凌不平路面行驶时天窗异响,车身附件及电器天窗异响,2021-02-05,信息审核
570601,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸方向盘异响 中控黑屏 影像蓝屏,转向系统异响前后桥及悬挂系统减震器异响车身附件及电器影音系统故障车身附件及电器门窗异响车身附件及电器中控台异响,2021-02-05,处理反馈
570598,东风日产,逍客,2017款 2.0L CVT 智享版 国VI,东风日产逍客发动机故障灯亮 无法加速,发动机故障灯亮变速器无法加速,2021-02-05,处理反馈
570597,奇瑞汽车,瑞虎8,2020款 1.5TCI 自动 特供版 5座,奇瑞瑞虎8中控异响 方向盘共振左轻右重,转向系统抖动转向系统打方向沉重车身附件及电器中控台异响,2021-02-05,处理反馈
570595,上汽大众,辉昂,2019款 380TSI 两驱 商务版 国V,大众辉昂行驶时变速箱顿挫异响 发动机抖动,发动机抖动变速器异响变速器顿挫,2021-02-05,处理反馈
570593,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,发动机无法启动,2021-02-05,处理反馈
570590,奇瑞汽车,奇瑞E5,2011款 1.5 手动 优悦型 E5,奇瑞E5漆面掉漆供油不足导致无法加速,发动机动力消失车身附件及电器漆面起泡开裂车身附件及电器汽油泵故障,2021-02-05,厂家受理
570586,一汽-大众,探岳,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯水雾影响行车安全,车身附件及电器车灯不亮,2021-02-05,处理反馈
570584,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱无奇数挡仪表盘故障报警,变速器无法换挡变速器故障灯亮,2021-02-05,处理反馈
570582,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁行驶过程中车门有异响,车身附件及电器门窗异响,2021-02-05,处理反馈
570580,一汽-大众,高尔夫,2021款 280TSI DSG R-Line,一汽大众高尔夫螺丝孔有瑕疵无法安装车牌,配件争议配件质量差,2021-02-05,处理反馈
570578,一汽丰田,锐志,2007款 2.5V 导航版 新锐志REIZ,一汽丰田锐志中控仪表台开裂老化,车身附件及电器仪表台开裂,2021-02-05,信息审核
570576,一汽-大众,高尔夫,2017款 1.6L 自动 舒适百万辆纪念版,一汽大众高尔夫加满油低速踩刹车油箱异响,车身附件及电器汽油箱异响,2021-02-05,处理反馈
570575,长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,长安福特锐际经销商喷漆色差明显,人员技术修出新问题,2021-02-05,用户评分
570571,江铃汽车,驭胜S350,2016款 2.4T 自动 两驱 柴油 豪华版 5座,江铃驭胜S350变速箱换挡时有异响,变速器异响,2021-02-05,信息审核
570569,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,一汽奔腾T77电瓶亏电导致无法启动,车身附件及电器电瓶故障,2021-02-05,处理反馈
570568,东风雪铁龙,雪铁龙C3-XR,2015款 1.6THP 自动 先锋型 5座,东风雪铁龙C3-XR发动机严重烧机油,发动机烧机油,2021-02-05,处理反馈
570563,长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型,长安福特翼虎防冻液异常消耗希望处理,发动机冷却系统故障,2021-02-05,处理反馈
570560,上汽大众,桑塔纳,2021款 1.5L 手动 风尚版,上汽大众桑塔纳购车后不给保养手册,服务流程不完善手续不齐,2021-02-05,处理反馈
570558,一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来倒车时踩刹车严重异响,制动系统异响,2021-02-05,处理反馈
570557,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸变速箱失速 方向盘故障灯亮,发动机熄火变速器无法加速转向系统打方向沉重,2021-02-05,用户评分
570556,江汽集团,思皓X8,2021款 300T DCT 全景豪华版 6座,江淮思皓X8购车时置换补贴未兑现,承诺不兑现销售承诺不兑现,2021-02-05,处理反馈
570555,上汽通用五菱,宝骏310W,2017款 1.5L 手动 时尚型 国VI,宝骏310W行驶时出现交通事故气囊未弹开,车身附件及电器气囊未弹开,2021-02-05,处理反馈
570554,广汽乘用车,传祺GS3,2017款 150N 自动 精英版,广汽传祺GS3爆震传感器故障发动机故障灯亮,发动机故障灯亮车身附件及电器传感器故障,2021-02-05,信息审核
570553,广汽三菱,欧蓝德,2020款 2.0L 两驱 畅享版 5座,广汽三菱欧蓝德4S店销售维修过的问题车,销售欺诈出售问题车,2021-02-05,厂家受理
570546,吉利汽车,吉利ICON,2020款 1.5TD i9,吉利ICON销售人员赠送车膜质量太差,服务收费变相收费配件争议配件质量差,2021-02-05,处理反馈
570545,BEIJING汽车,绅宝X35,2016款 1.5L 自动 精英版,北汽绅宝X35车辆登记证书缺失无法解压,服务流程不完善手续不齐,2021-02-05,处理反馈
570544,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 豪华优享版 7座 改款,斯柯达柯迪亚克刹车系统存在异响现象,制动系统异响,2021-02-05,处理反馈
570543,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮4S店不予处理,轮胎起皮服务态度不解决问题,2021-02-05,处理反馈
570541,华晨宝马,宝马1系,2021款 125i M运动曜夜版,华晨宝马1系车联网APP数据无法更新,车身附件及电器车载互联故障服务态度态度蛮横,2021-02-05,厂家受理
570534,长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,长安福特锐际发动机舱内有异响要求处理,发动机异响,2021-02-05,用户评分
570529,广汽本田,皓影,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影油管损坏需要更换油箱,其他疑似设计缺陷,2021-02-05,处理反馈
570525,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高低速时岀现方向卡滞,转向系统卡滞,2021-02-05,信息审核
570523,东风日产,劲客,2021款 1.5L XE 手动 酷动版,东风日产劲客加速时发动机舱异响,发动机异响,2021-02-05,处理反馈
570521,东风本田,本田CR-V,2021款 240TURBO CVT 四驱 豪华版,东风本田CR-V按装行车记录仪与承诺不符,承诺不兑现销售承诺不兑现,2021-02-05,信息审核
570517,奔驰（进口）,奔驰E级（进口）,2018款 E 200 敞篷轿跑车,进口奔驰E级尾灯开裂 变速箱跳挡,变速器跳挡车身附件及电器影音系统故障车身附件及电器行车安全辅助系统故障车身附件及电器灯罩裂纹或变形,2021-02-05,厂家受理
570514,上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 L2B,上汽通用五菱宏光中控系统是非原厂配件,配件争议使用非原厂件,2021-02-05,处理反馈
570512,广汽乘用车,传祺GA6,2016款 235T DCT 豪华版,广汽传祺GA6低速行驶变速箱换挡顿挫,变速器异响变速器顿挫变速器无法加速,2021-02-05,处理反馈
570511,东风雪铁龙,雪铁龙C6,2017款 380THP 尊贵型,东风雪铁龙C6测距雷达故障 店方要收费调试,服务收费变相收费,2021-02-05,处理反馈
570510,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳出现防冻液消耗过快,发动机冷却系统故障,2021-02-05,处理反馈
570507,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内厂家无配件索赔,配件争议无零配件,2021-02-05,信息审核
570505,上汽大众,朗行,2013款 1.4TSI 自动 豪华型,上汽大众朗行车内异味严重影响身体健康,车身附件及电器车内异味,2021-02-05,处理反馈
570503,吉利汽车,缤越,2020款 PRO 260T DCT 骑士,吉利缤越转速1300-1800转区间方向盘振动,转向系统抖动,2021-02-05,处理反馈
570502,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳变速箱拖挡导致车身抖动,变速器拖挡,2021-02-05,处理反馈
570500,一汽-大众,C-TREK蔚领,2017款 1.6L 自动 舒适型,一汽大众蔚领天窗严重漏水造成内饰有水渍,车身附件及电器天窗漏水,2021-02-05,处理反馈
570499,东风标致,标致308,2014款 乐享版 经典 1.6L 手动 优尚型,东风标致308油泵变形导致油表显示不准确,车身附件及电器汽油泵故障车身附件及电器油箱有缺陷,2021-02-05,处理反馈
570496,一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放空调出风口经常异响,车身附件及电器空调问题,2021-02-05,信息审核
570494,东风风行,景逸X5,2017款 1.5T CVT 智联型 劲享系列,东风风行景逸X5发动机漏油 变速箱异响,发动机漏油变速器异响车身附件及电器导航问题,2021-02-05,处理反馈
570489,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国VI,一汽大众迈腾变速箱异响顿挫存在质量问题,发动机异响变速器异响变速器顿挫,2021-02-05,处理反馈
570483,上汽大众,凌渡,2021款 280TSI DSG 舒适版,上汽大众凌渡厂家置换补贴承诺4S店不兑现,承诺不兑现销售承诺不兑现,2021-02-05,处理反馈
570481,奇瑞汽车,艾瑞泽5,2020款 1.5L CVT 运动版,奇瑞艾瑞泽5无操作情况下发动机自行启动,车身附件及电器车身模块故障,2021-02-05,处理反馈
570479,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳右大灯透镜发白越来越严重,车身附件及电器车灯不亮,2021-02-05,处理反馈
570478,观致汽车,观致7,2020款 1.8T 巡航豪华型,观致7变速箱故障 自动驻车故障  刹车异响,变速器故障灯亮制动系统异响服务流程不完善服务网点少,2021-02-05,信息审核
